STATION_CODE,STATION_NAME,DIVISION,ZONE,DISTRICT,STATE,WORKING HOURS FROM,WORKING HOURS TO,TERMINAL TYPE,AVG. RAKES HANDLING,LINE COUNT,HANDLING TYPE,WAREHOUSE_AVAILABLE (YES/NO),OWNER,ASSOCIATED WEIGHBRIDGE,ALTERNATE WEIGHBRIDGE,TANK HANDLING (YES/NO),LATITUDE,LONGITUDE
CAR,CHUNAR JN.,PRYJ,NC,MIRZAPUR,UTTAR PRADESH,06:00,22:00,CRT,8.2,2.0,BOTH,N,IR,CAR,,N,25.103697,82.8745
CHL,CHOLA,PRYJ,NC,BULANDSHAHR,UTTAR PRADESH,00:00,22:00,CRT,2.2,,,,,,,,28.310082,77.731439
CODS,"COD SIDING,, CHHEOKI",PRYJ,NC,PRAYAGRAJ,UTTAR PRADESH,06:00,17:00,RLY-SDNG,8.2,4.0,MANUAL,Y,MILY,,,N,25.379548,81.864796
CODX,"C.O.D SDG, KANPUR CENTRAL",PRYJ,NC,KANPUR NAGAR,UTTAR PRADESH,08:00,17:00,RLY-SDNG,1.7,1.0,BOTH,N,MILY,GMC,,N,26.454283,80.350914
CPA,KANPUR (ANWAR GANJ),PRYJ,NC,KANPUR NAGAR,UTTAR PRADESH,,,CRT,6.4,1.0,BOTH,N,IR,GMC,,N,26.45662222,80.32731667
CPC,KANPUR  CENTRAL G/SHED,PRYJ,NC,KANPUR NAGAR,UTTAR PRADESH,00:00,23:59,CRT,9.1,9.0,MANUAL,N,IR,GMC,,N,26.454283,80.350914
DNCN,NEW DAGMAGPUR,PRYJ,NC,MIRZAPUR,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,8.1,,,,,,,,25.103697,82.8745
DPSB,NEW BHADAN,PRYJ,NC,FIROZABAD,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,2.2,1.0,BOTH,N,TALD,,,N,26.9794518,78.7375546
ETAH,ETAH,PRYJ,NC,ETAH,UTTAR PRADESH,06:00,22:00,CRT,6.9,3.0,MANUAL,N,IR,,,N,27.572075,78.653735
ETW,ETAWAH,PRYJ,NC,ETAWAH,UTTAR PRADESH,06:00,22:00,CRT,9.4,1.0,MANUAL,N,IR,,,N,26.786991,79.021092
FCSC,"FOOD CORPORATION OF INDIA, CHANDARI",PRYJ,NC,KANPUR NAGAR,UTTAR PRADESH,06:00,22:00,PRVT-SDNG,6.7,9.0,MANUAL,Y,FCI,GMC,,N,26.427808,80.360355
FTP,FATEHPUR,PRYJ,NC,FATEHPUR,UTTAR PRADESH,06:00,22:00,CRT,4.3,1.0,MANUAL,N,IR,,,N,25.917059,80.801439
